building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.012729205315788, 6.367448101471167, 30.942823044374524, 55.53144551734115
10009, 11.000222287743142, 5.811129631204464, 16.6712734948236, 74.9723590310584
10014, 14.744533231124421, 7.0375255771882985, 38.26367541377415, 52.80837116508215
10019, 14.735854091157831, 7.030137358275137, 38.150171412294895, 52.92723370057273
10029, 10.616114323778131, 6.317274294547088, 18.25563221896085, 74.51301795448481
10031, 12.507301094564147, 6.278388550941571, 24.046195091771498, 66.39365995934361
10051, 13.289155505923736, 5.999078478268969, 25.97693550756574, 62.859923608050536
10053, 11.36670662107952, 6.261159275392185, 19.9510754583921, 72.41052538787024
10056, 14.220175763226898, 6.179458577529562, 31.763454814173965, 57.06174975667784
10064, 12.717328180664486, 6.964229155915364, 28.79526157616783, 62.7559108725041
10075, 15.157180678313232, 6.440551324646443, 39.12640226128434, 47.45605511880576
10079, 15.094504876588825, 7.313867651994356, 41.90195034602913, 49.44974108309539
10080, 15.778030067992544, 7.280491249774024, 46.36674471691274, 44.71005476580028
10082, 16.465768388665467, 6.713324728021573, 48.64349722630506, 40.56042861884216
10083, 15.639272723013942, 7.12080676170318, 44.855518923515284, 45.886354482120744
10084, 15.100733878493893, 7.150506903819684, 40.90648998644782, 50.266526125583496
10085, 15.869005800655252, 7.192736728860783, 46.18303917834116, 44.72425614762771
10086, 14.391582585793028, 7.215599485136405, 37.25761237312712, 53.01788303528274
10087, 15.07331877916127, 7.275468626032554, 41.532405798190645, 49.89713190601896
10089, 13.990209322767988, 7.276078136974222, 35.45955760665008, 56.36117757203787
10090, 14.290042052724447, 6.618876682256048, 36.62647808949687, 51.19638302805471
10093, 14.095616651931484, 6.567269967333956, 33.37738587863163, 56.455142231947484
10094, 14.194339970167494, 6.761396577476436, 35.37678542111312, 54.92584687790729
10097, 14.353387189437997, 6.862503175639661, 37.79783275670736, 51.308832169201644
10117, 15.46525207157727, 6.682154878413948, 44.11653993826696, 44.475394614670385
10119, 14.087852277760511, 6.751748081199085, 35.080178957422206, 54.69763233298145
10120, 15.281957676269709, 8.03150308122156, 46.168775716171105, 47.71627461636002
10124, 13.865684454692103, 7.032469677713955, 34.5643361911253, 56.06951967571834
10126, 13.395584563495936, 6.6367560349207695, 29.66113660430639, 61.092481468408046
10128, 17.42654588873034, 6.706358895047232, 56.03287758684896, 34.88322604670958
10136, 15.423377195427992, 7.273074129467227, 44.30877831275273, 46.891158413002856
10144, 12.107646888141861, 6.127303775130511, 21.81051363157102, 68.90219410553799
10145, 10.649423781638076, 5.892548915753832, 16.562272626617318, 75.2949922495334
10150, 14.960258818851372, 7.495415113873167, 41.1976336628155, 50.739016746100916
10161, 13.448830739585825, 7.030510749572534, 31.811469984215616, 59.47317503691508
10165, 13.053377566151166, 6.732508663082307, 29.06502057613169, 62.05925925925926
10167, 13.231595163552166, 6.814803113671339, 30.187672922430746, 60.85369512317077
10168, 13.192446156773885, 6.901053249357885, 30.322269682716442, 60.489969584656045
10174, 16.57610647468968, 6.973576420489244, 49.408828074198894, 41.378538815978075
10176, 16.65045722844662, 6.857741795221835, 49.76075889503992, 40.73775280273736
10177, 16.618350994123713, 6.787462005451351, 49.090385799576985, 40.96945195577093
10180, 16.484323308551616, 6.869729712471953, 48.18600984728574, 42.14938595229009
10182, 16.734533888383577, 6.319555900285232, 50.862617549317676, 37.53329090951944
10198, 14.428427592005205, 7.342075703988614, 38.62776233955273, 53.21754664549424
10199, 17.241423942558892, 6.97705427360483, 53.889583871117196, 37.6733318771801
10200, 12.82270779799624, 7.258911951793765, 30.670315186629825, 61.66377862672028
10201, 15.94968863230365, 7.272117334066344, 47.055564608114715, 44.64852533811308
10202, 13.54605712767997, 7.495534561026285, 34.0404662968633, 58.643656679324806
10203, 16.804125513305642, 6.612318772307279, 51.21873506452127, 38.88734002442781
10204, 14.76463061917301, 7.063934515885611, 39.035507361930584, 51.7308510072822
10205, 11.445203984820123, 6.666970987151355, 23.171405828505726, 69.39260602308407
10206, 10.122491484537639, 6.363138874169674, 17.546260751521626, 76.32272924525154
10207, 11.382837307376985, 6.614849942766833, 22.644717520673932, 69.82544466894107
10208, 9.476343672090206, 5.542402757526991, 11.935778252454446, 82.34503645316245
1021, 16.748596703489003, 6.379981343088931, 48.789713284761454, 39.59345915823717
10215, 15.46655991772114, 7.149681866312594, 44.25353739532197, 46.60080029701745
10219, 14.15664091120201, 7.303112620489155, 37.30760536752769, 54.16640979799848
1022, 17.77257516776943, 6.2215351442277935, 57.556159706048824, 31.853061527469773
1023, 18.974803852653622, 5.845224745214581, 65.20798246191771, 25.13007724659635
1024, 18.29141007926336, 5.931211941686282, 60.49427466726151, 28.96033162316901
10243, 16.610010239381293, 6.202264773475993, 48.99322970740053, 38.13005395762353
10244, 15.569057460903823, 6.620880580946448, 44.0976569486675, 43.51338460621236
10245, 16.654521791699157, 6.210931339020504, 49.19584690553746, 37.89407864122848
10247, 15.606348836253577, 6.6190348517294355, 44.63278535653586, 43.11970761201438
10249, 16.12175461881276, 6.232215559669067, 45.98336084071541, 40.45269291656843
1025, 17.52398952267118, 6.333014760822555, 56.016945207392574, 33.87365578883665
10251, 12.175690824515632, 7.589454834191234, 29.171162984419073, 65.16726302038963
10252, 11.992428105411406, 7.614788012463081, 27.49379605955783, 67.02981651376146
10255, 11.925044463424877, 7.226607015910056, 25.799709616860717, 67.9699999075213
10257, 15.235712843456492, 7.29361680990181, 40.737185369227944, 51.25146463006621
10259, 12.643663947033083, 7.628700984461747, 30.44686113087373, 63.863197479418645
1026, 18.546928368417436, 5.71416064596731, 61.95563012677107, 26.826994780014914
10260, 13.663068698134124, 7.209788770941157, 33.64884534520476, 58.16685251232114
10262, 14.71543429399519, 7.445354075813231, 39.05535889381928, 53.17511758155923
